id,call_number,full_subject_path,main_subject,sub_subject,specific_topic,additional_subject,related_terms
CF 94024257,E585.I75,"United States > The Civil War, 1861-1865 > Armies. Troops > The Confederate States Army > Participation by race, ethnic group, religious group, A-Z",United States,"The Civil War, 1861-1865","Armies. Troops > The Confederate States Army > Participation by race, ethnic group, religious group, A-Z",Irish,Irish soldiers
CF 00433757,KJV5461.3,Law of France > Cultural affairs. L'action culturelle des pouvoirs publics > Education,Law of France,Cultural affairs. L'action culturelle des pouvoirs publics,Education,Private schools,Private schools
CF 00433758,N6868.5.N55,"Visual arts > History > Special regions or countries > Europe > Germany > Modern > 20th century > Special aspects or movements, A-Z",Visual arts,History,"Special regions or countries > Europe > Germany > Modern > 20th century > Special aspects or movements, A-Z",Gruppe 1950,Gruppe 1950
CF 00433759,NB1952.D35,"Sculpture > Special subjects > Other subjects or themes in sculpture, A-Z",Sculpture,Special subjects,"Other subjects or themes in sculpture, A-Z",Dance,Dance in art
CF 00433760,NE962.A76,"Print media > Printmaking and engraving > Special subjects > Other subjects, A-Z",Print media,Printmaking and engraving,"Special subjects > Other subjects, A-Z",Arona (Italy),Arona (Italy) in art
CF 00433761,NE962.S73,"Print media > Printmaking and engraving > Special subjects > Other subjects, A-Z",Print media,Printmaking and engraving,"Special subjects > Other subjects, A-Z",Studiolos,Studiolos in art
CF 00433762,NK4894.3.C32,"Decorative arts. Applied arts. Decoration and ornament > Other arts and art industries > Dolls and dollhouses > Special types of dolls, A-Z",Decorative arts. Applied arts. Decoration and ornament,Other arts and art industries,"Dolls and dollhouses > Special types of dolls, A-Z",Cabbage Patch Kids dolls,Cabbage Patch Kids dolls
CF 00433763,NX653.C47,"Arts in general > Special geographic areas and places as subjects, A-Z",Arts in general,"Special geographic areas and places as subjects, A-Z",,Cervia (Italy),Cervia (Italy) as a subject in the arts
CF 00433764,BV199.C32N8,"Practical theology > Worship (Public and private) > Liturgy and ritual > Service books. Liturgies > Other special, A-Z > Canticles > Individual canticles, A-Z > Nunc dimittis",Practical theology,Worship (Public and private),"Liturgy and ritual > Service books. Liturgies > Other special, A-Z > Canticles > Individual canticles, A-Z > Nunc dimittis","Texts in Hebrew, Greek, or Latin. By date",
CF 00433765,BV199.C32N82,"Practical theology > Worship (Public and private) > Liturgy and ritual > Service books. Liturgies > Other special, A-Z > Canticles > Individual canticles, A-Z > Nunc dimittis",Practical theology,Worship (Public and private),"Liturgy and ritual > Service books. Liturgies > Other special, A-Z > Canticles > Individual canticles, A-Z > Nunc dimittis",Other translations,
CF 00433766,BV199.C32N83,"Practical theology > Worship (Public and private) > Liturgy and ritual > Service books. Liturgies > Other special, A-Z > Canticles > Individual canticles, A-Z > Nunc dimittis",Practical theology,Worship (Public and private),"Liturgy and ritual > Service books. Liturgies > Other special, A-Z > Canticles > Individual canticles, A-Z > Nunc dimittis",History and criticism,
CF 00433767,KHA2902,South America: Argentina > General,South America: Argentina,General,,Constitutional law,
CF 00433768,KHA2902,South America: Argentina > General > Constitutional law,South America: Argentina,General,Constitutional law,Sources,
CF 00433769,KHA2910,South America: Argentina > General > Constitutional law > Sources,South America: Argentina,General,Constitutional law > Sources,Constitutions,
CF 00433770,KHA2914,South America: Argentina > General > Constitutional law > Sources > Constitutions,South America: Argentina,General,Constitutional law > Sources > Constitutions,Particular constitutions. By date of constitution,
CF 00433771,PG3015.5.R48,"Slavic. Baltic. Albanian > Russian literature > Literary history and criticism > History, by period > 19th century (1800/1820-1900/1917) > Special topics and subjects, A-Z",Slavic. Baltic. Albanian,Russian literature,"Literary history and criticism > History, by period > 19th century (1800/1820-1900/1917) > Special topics and subjects, A-Z",Revolutions,Revolutions in literature
CF 00433772,PG3228.A5,"Slavic. Baltic. Albanian > Russian literature > Collections of Russian literature > By period > 20th century. Soviet literature > By subject, A-Z",Slavic. Baltic. Albanian,Russian literature,"Collections of Russian literature > By period > 20th century. Soviet literature > By subject, A-Z","Andersen, Hans Christian","Andersen, Hans Christian in literature"
